nume_actiune,timestamp
adaugareProdus,2024-05-24 19:23:08.0860489
stergereProdus,2024-05-24 19:23:08.095048
sortareProduse,2024-05-24 19:23:08.0960497
afisareProduse,2024-05-24 19:23:08.09706
numarareProduse,2024-05-24 19:23:08.0980494
cautareProdusCategorie,2024-05-24 19:23:08.0980494
cautareProdusNume,2024-05-24 19:23:08.0990484
adaugareProdus,2024-05-24 19:23:53.0209591
adaugareProdus,2024-05-24 19:23:53.0319608
adaugareProdus,2024-05-24 19:23:53.0319608
adaugareProdus,2024-05-24 19:23:53.0329588
adaugareProdus,2024-05-24 19:23:53.0329588
stergereProdus,2024-05-24 19:23:53.038961
sortareProduse,2024-05-24 19:23:53.040961
afisareProduse,2024-05-24 19:23:53.040961
numarareProduse,2024-05-24 19:23:53.0419677
cautareProdusCategorie,2024-05-24 19:23:53.042961
cautareProdusNume,2024-05-24 19:23:53.0439602
adaugareProdus,2024-05-24 19:25:34.083012
adaugareProdus,2024-05-24 19:25:34.0970208
adaugareProdus,2024-05-24 19:25:34.098013
adaugareProdus,2024-05-24 19:25:34.0990189
adaugareProdus,2024-05-24 19:25:34.1010135
stergereProdus,2024-05-24 19:25:34.1090193
sortareProduse,2024-05-24 19:25:34.111014
afisareProduse,2024-05-24 19:25:34.1120144
numarareProduse,2024-05-24 19:25:34.1120144
cautareProdusCategorie,2024-05-24 19:25:34.1130139
cautareProdusNume,2024-05-24 19:25:34.1140139
adaugareProdus,2024-05-24 19:26:06.884125
adaugareProdus,2024-05-24 19:26:06.9011251
adaugareProdus,2024-05-24 19:26:06.9021261
adaugareProdus,2024-05-24 19:26:06.9031227
adaugareProdus,2024-05-24 19:26:06.9051276
stergereProdus,2024-05-24 19:26:06.913122
sortareProduse,2024-05-24 19:26:06.9151304
afisareProduse,2024-05-24 19:26:06.9171239
numarareProduse,2024-05-24 19:26:06.9191256
cautareProdusCategorie,2024-05-24 19:26:06.9241294
cautareProdusNume,2024-05-24 19:26:06.9291221
adaugareProdus,2024-05-24 19:30:00.7968279
adaugareProdus,2024-05-24 19:30:00.8098278
adaugareProdus,2024-05-24 19:30:00.8108278
adaugareProdus,2024-05-24 19:30:00.8108278
